user_id,total_responses,passing_responses,average_max_score
0a33d72cd1ea41a33634db135928cc0d,18,10,42.22222222222222
09ff604f50d6b3b9782b0adc1619ddb8,18,7,30.0
33d899f4525cdfab3c39dfbc0f969ed3,1,1,80.0
