user_id,platform_id,session_id,video_id,IL_eKey.space_mean,IL_eKey.space_median,IL_eKey.space_q1,IL_eKey.space_q3,IL_eKey.space_std,IL_Key.spacet_mean,IL_Key.spacet_median,IL_Key.spacet_q1,IL_Key.spacet_q3,IL_Key.spacet_std,IL_th_mean,IL_th_median,IL_th_q1,IL_th_q3,IL_th_std,IL_sKey.space_mean,IL_sKey.space_median,IL_sKey.space_q1,IL_sKey.space_q3,IL_sKey.space_std,IL_Key.spacea_mean,IL_Key.spacea_median,IL_Key.spacea_q1,IL_Key.spacea_q3,IL_Key.spacea_std,IL_tKey.space_mean,IL_tKey.space_median,IL_tKey.space_q1,IL_tKey.space_q3,IL_tKey.space_std,IL_he_mean,IL_he_median,IL_he_q1,IL_he_q3,IL_he_std,IL_in_mean,IL_in_median,IL_in_q1,IL_in_q3,IL_in_std,IL_dKey.space_mean,IL_dKey.space_median,IL_dKey.space_q1,IL_dKey.space_q3,IL_dKey.space_std,IL_an_mean,IL_an_median,IL_an_q1,IL_an_q3,IL_an_std
03ed26062301e1ac6bbf94f3c03a7e56,1,1,1,7.28125e-05,6.25e-05,4.45e-05,9.075e-05,6.085635409169146e-05,0.000145,0.000161,0.000125,0.000173,4.995998398718719e-05,0.0001245,0.000129,0.0001215,0.000141,2.391443078979719e-05,0.0001725,0.0001285,0.0001067499999999,0.00019425,0.0001346216921599,8.98e-05,2e-05,0.0,7.2e-05,0.0001807545296804,0.0001498333333333,0.0001325,7.875e-05,0.00017525,9.9451069132087e-05,1.8e-05,1.8e-05,1.5e-05,2.1e-05,8.485281374238571e-06,0.000112,0.000112,0.000112,0.000112,0.0,7.97e-05,5.2e-05,4.2e-05,0.00010175,5.972539009686101e-05,1.1600000000000006e-05,4e-05,2.4e-05,4e-05,7.965425286825557e-05
03ed26062301e1ac6bbf94f3c03a7e56,1,1,2,5.45e-05,2.05e-05,8.249999999999999e-06,6.675e-05,9.325413306300872e-05,0.000128,0.000128,0.000128,0.000128,0.0,0.0001203333333333,0.00012,0.000116,0.0001245,8.504900548115378e-06,6.166666666666667e-05,4.05e-05,1.425e-05,6.675e-05,7.269021025328422e-05,8e-06,8e-06,8e-06,8e-06,0.0,0.000118,9.15e-05,7.2e-05,0.00017225,7.372923436466705e-05,0.0,0.0,0.0,0.0,0.0,0.0001093999999999,0.0001,8.8e-05,0.000104,3.7891951652032913e-05,6.133333333333334e-05,7.3e-05,4.4e-05,8.45e-05,4.174126655161932e-05,4.8e-05,4.8e-05,4.8e-05,4.8e-05,0.0
03ed26062301e1ac6bbf94f3c03a7e56,1,1,3,7.166666666666666e-05,9.6e-05,2.4e-05,0.000104,5.109305236526782e-05,0.00012475,0.0001435,0.00012125,0.000147,4.62123720807895e-05,0.0001378,0.000135,0.000133,0.000136,1.1166915420114902e-05,0.0001223333333333,0.0001225,1.525e-05,0.0001599999999999,0.0001408498017984,4.999999999999999e-07,4.999999999999999e-07,-3.25e-06,4.25e-06,1.0606601717798212e-05,9.383333333333334e-05,0.0001125,6.9e-05,0.000126,5.108196028606054e-05,1.866666666666667e-05,3.2e-05,7.999999999999998e-06,3.6e-05,3.0287511177601455e-05,0.0001546666666666,0.000168,0.000136,0.0001799999999999,4.548992562461862e-05,0.0001413333333333,0.000168,8.8e-05,0.000208,0.0001222020185321,2.8e-05,2.8e-05,2.6e-05,2.9999999999999997e-05,5.656854249492379e-06
03ed26062301e1ac6bbf94f3c03a7e56,1,2,1,8.1e-05,8.1e-05,8.1e-05,8.1e-05,0.0,0.0001765,0.0001765,0.00017625,0.00017675,7.071067811865456e-07,0.0001092,0.000135,0.000129,0.000136,5.609991087336948e-05,5.1000000000000006e-05,4.1e-05,3.6e-05,5.7e-05,2.7667670664513845e-05,2.0600000000000003e-05,2.4e-05,8e-06,3.2e-05,3.7440619652991855e-05,0.0001415555555555,0.000111,7.1e-05,0.000137,0.0001453281726912,1.4333333333333334e-05,1e-05,-3e-06,2.95e-05,3.271594921950658e-05,0.000234,0.0001365,0.00012775,0.00024275,0.0002015026881541,5.1e-05,5.6e-05,1.6000000000000003e-05,8.85e-05,7.262919523166975e-05,3.3833333333333334e-05,4.45e-05,1e-05,5.5e-05,3.008931150203784e-05
03ed26062301e1ac6bbf94f3c03a7e56,1,2,2,8.199999999999999e-05,7.6e-05,2e-05,0.000138,7.82133833389998e-05,0.000153,0.000153,0.000153,0.000153,0.0,8.366666666666668e-05,0.000128,5.9999999999999995e-05,0.0001295,7.939983207370992e-05,7.633333333333334e-05,5.7e-05,5.650000000000001e-05,8.65e-05,3.435597958628648e-05,4.25e-05,4.25e-05,1.5249999999999998e-05,6.975e-05,7.707463914933368e-05,0.0001022499999999,9.6e-05,5.8e-05,0.00014025,6.215236654115969e-05,8.666666666666668e-06,1e-06,1e-06,1.25e-05,1.3279056191361391e-05,0.000148,0.000148,0.000134,0.000162,3.959797974644666e-05,8.644444444444445e-05,3.9e-05,0.0,9.6e-05,0.000160556930021,4.575e-05,4.5499999999999995e-05,2.9e-05,6.225e-05,2.3921747427811375e-05
03ed26062301e1ac6bbf94f3c03a7e56,1,2,3,4.4666666666666664e-05,2.4e-05,2e-05,8.8e-05,5.089204259999789e-05,0.0001405,0.0001405,0.00013825,0.00014275,6.363961030678929e-06,0.000136,0.0001325,0.00012675,0.00014175,1.667333200053306e-05,6.4e-05,6.4e-05,6.4e-05,6.4e-05,0.0,4e-06,4e-06,4e-06,4e-06,0.0,4.8e-05,4.8e-05,4.8e-05,4.8e-05,0.0,4.0333333333333336e-05,3.2e-05,2.05e-05,5.6000000000000006e-05,3.622614157391501e-05,0.0001389720588235,0.000131294117647,0.0001211764705882,0.0001448823529411,3.893038390835802e-05,1.6e-05,1.6e-05,1.9999999999999995e-06,2.9999999999999997e-05,3.959797974644666e-05,1.8666666666666665e-05,5.6e-05,-3.999999999999996e-06,5.9999999999999995e-05,7.170309151866002e-05
03ed26062301e1ac6bbf94f3c03a7e56,2,1,1,6.662499999999999e-05,6.45e-05,3.2e-05,0.0001049999999999,4.007470702147606e-05,9e-05,9e-05,6.3e-05,0.000117,7.636753236814713e-05,0.0001195,0.0001325,0.000111,0.00014325,3.919183588453085e-05,0.00012325,0.000104,4.5e-05,0.00018225,0.0001007285957412,9.4e-05,4e-05,2.6e-05,0.000108,0.0001303738215031,0.0001545555555555,0.000105,8.4e-05,0.000177,0.0001172477197124,0.000132,0.000132,7.4e-05,0.00019,0.0001640487732352,0.0001416666666666,0.000144,0.000136,0.0001485,1.2662279942148393e-05,9.866666666666668e-05,0.00012,6.8e-05,0.00014,7.433258594542055e-05,1e-05,1e-05,3e-06,1.7e-05,1.9798989873223333e-05
03ed26062301e1ac6bbf94f3c03a7e56,2,1,2,4.0875e-05,3.6e-05,1.0249999999999998e-05,6.725e-05,4.1714805525137e-05,0.00034,0.00034,0.000222,0.000458,0.00033375440072,7.875e-05,8.45e-05,2.7e-05,0.00013625,6.74011622056079e-05,7.199999999999999e-05,5.5e-05,4.9e-05,0.000104,2.9816103031751147e-05,0.0,0.0,0.0,0.0,0.0,0.000165,0.000121,7.65e-05,0.00014,0.00018819404879,-2.4e-05,-2.4e-05,-2.4e-05,-2.4e-05,0.0,0.00012675,0.0001285,0.0001189999999999,0.00013625,1.1729592206608609e-05,3.2e-05,3.2e-05,2.75e-05,3.65e-05,1.2727922061357856e-05,4.26e-05,4e-05,3.2e-05,5.7e-05,1.7994443586840912e-05
03ed26062301e1ac6bbf94f3c03a7e56,2,1,3,8.827777777777777e-05,6.5e-05,4.8e-05,7.875e-05,9.710746355004944e-05,0.000116,0.000116,0.0001099999999999,0.000122,1.6970562748477143e-05,9.616666666666668e-05,0.000124,0.000114,0.000128,6.652643584821502e-05,0.000156,6.4e-05,5.2e-05,7.8e-05,0.0002490194102207,5.48e-05,3.6e-05,1.7e-05,0.000104,6.6788472059181e-05,0.0001271428571428,0.000112,7.9e-05,0.000136,9.659439005696031e-05,1.7e-05,1.4e-05,8e-06,2.3e-05,1.1489125293076058e-05,0.000109,0.000109,0.000109,0.000109,0.0,5.4875e-05,5.9999999999999995e-05,-1.7500000000000002e-06,0.0001167499999999,7.014360270188579e-05,5.425e-05,4.0499999999999995e-05,8e-06,6.025e-05,7.090587322036769e-05
03ed26062301e1ac6bbf94f3c03a7e56,2,2,1,4.7e-05,5.2e-05,3.725e-05,6.424999999999999e-05,2.335441224755124e-05,0.0002416666666666,0.000164,0.0001385,0.000306,0.0001805002308401,9.971428571428571e-05,0.000136,5.25e-05,0.00014,5.120128346605609e-05,0.0002033333333333,0.000152,0.000137,0.000244,0.0001158677406931,5.88e-05,6.4e-05,2.3e-05,9.5e-05,5.6384395004291755e-05,0.000112,0.000112,0.000112,0.000112,0.0,8.960000000000001e-05,4.1e-05,4e-05,0.000167,7.119901684714473e-05,0.0001931666666666,0.0001475,0.000138,0.00015925,0.0001299483230621,4.5e-05,4.8e-05,3.2e-05,5.6e-05,5.478138369920935e-05,5.5666666666666674e-05,1.6e-05,1.6e-05,7.549999999999999e-05,6.870468203356547e-05
