user_id,platform_id,session_id,video_id,IL_eKey.space_mean,IL_eKey.space_median,IL_eKey.space_q1,IL_eKey.space_q3,IL_eKey.space_std,IL_Key.spacet_mean,IL_Key.spacet_median,IL_Key.spacet_q1,IL_Key.spacet_q3,IL_Key.spacet_std,IL_th_mean,IL_th_median,IL_th_q1,IL_th_q3,IL_th_std,IL_Key.spacea_mean,IL_Key.spacea_median,IL_Key.spacea_q1,IL_Key.spacea_q3,IL_Key.spacea_std,IL_sKey.space_mean,IL_sKey.space_median,IL_sKey.space_q1,IL_sKey.space_q3,IL_sKey.space_std,IL_dKey.space_mean,IL_dKey.space_median,IL_dKey.space_q1,IL_dKey.space_q3,IL_dKey.space_std,IL_he_mean,IL_he_median,IL_he_q1,IL_he_q3,IL_he_std,IL_tKey.space_mean,IL_tKey.space_median,IL_tKey.space_q1,IL_tKey.space_q3,IL_tKey.space_std
03ed26062301e1ac6bbf94f3c03a7e56,1,1,1,7.28125e-05,6.25e-05,4.45e-05,9.075e-05,6.085635409169146e-05,0.000145,0.000161,0.000125,0.000173,4.995998398718719e-05,0.0001245,0.000129,0.0001215,0.000141,2.391443078979719e-05,8.98e-05,2e-05,0.0,7.2e-05,0.0001807545296804,0.0001725,0.0001285,0.0001067499999999,0.00019425,0.0001346216921599,7.97e-05,5.2e-05,4.2e-05,0.00010175,5.972539009686101e-05,1.8e-05,1.8e-05,1.5e-05,2.1e-05,8.485281374238571e-06,0.0001498333333333,0.0001325,7.875e-05,0.00017525,9.9451069132087e-05
03ed26062301e1ac6bbf94f3c03a7e56,1,1,2,5.45e-05,2.05e-05,8.249999999999999e-06,6.675e-05,9.325413306300872e-05,0.000128,0.000128,0.000128,0.000128,0.0,0.0001203333333333,0.00012,0.000116,0.0001245,8.504900548115378e-06,8e-06,8e-06,8e-06,8e-06,0.0,6.166666666666667e-05,4.05e-05,1.425e-05,6.675e-05,7.269021025328422e-05,6.133333333333334e-05,7.3e-05,4.4e-05,8.45e-05,4.174126655161932e-05,0.0,0.0,0.0,0.0,0.0,0.000118,9.15e-05,7.2e-05,0.00017225,7.372923436466705e-05
03ed26062301e1ac6bbf94f3c03a7e56,1,1,3,7.166666666666666e-05,9.6e-05,2.4e-05,0.000104,5.109305236526782e-05,0.00012475,0.0001435,0.00012125,0.000147,4.62123720807895e-05,0.0001378,0.000135,0.000133,0.000136,1.1166915420114902e-05,4.999999999999999e-07,4.999999999999999e-07,-3.25e-06,4.25e-06,1.0606601717798212e-05,0.0001223333333333,0.0001225,1.525e-05,0.0001599999999999,0.0001408498017984,0.0001413333333333,0.000168,8.8e-05,0.000208,0.0001222020185321,1.866666666666667e-05,3.2e-05,7.999999999999998e-06,3.6e-05,3.0287511177601455e-05,9.383333333333334e-05,0.0001125,6.9e-05,0.000126,5.108196028606054e-05
03ed26062301e1ac6bbf94f3c03a7e56,1,2,1,8.1e-05,8.1e-05,8.1e-05,8.1e-05,0.0,0.0001765,0.0001765,0.00017625,0.00017675,7.071067811865456e-07,0.0001092,0.000135,0.000129,0.000136,5.609991087336948e-05,2.0600000000000003e-05,2.4e-05,8e-06,3.2e-05,3.7440619652991855e-05,5.1000000000000006e-05,4.1e-05,3.6e-05,5.7e-05,2.7667670664513845e-05,5.1e-05,5.6e-05,1.6000000000000003e-05,8.85e-05,7.262919523166975e-05,1.4333333333333334e-05,1e-05,-3e-06,2.95e-05,3.271594921950658e-05,0.0001415555555555,0.000111,7.1e-05,0.000137,0.0001453281726912
03ed26062301e1ac6bbf94f3c03a7e56,1,2,2,8.199999999999999e-05,7.6e-05,2e-05,0.000138,7.82133833389998e-05,0.000153,0.000153,0.000153,0.000153,0.0,8.366666666666668e-05,0.000128,5.9999999999999995e-05,0.0001295,7.939983207370992e-05,4.25e-05,4.25e-05,1.5249999999999998e-05,6.975e-05,7.707463914933368e-05,7.633333333333334e-05,5.7e-05,5.650000000000001e-05,8.65e-05,3.435597958628648e-05,8.644444444444445e-05,3.9e-05,0.0,9.6e-05,0.000160556930021,8.666666666666668e-06,1e-06,1e-06,1.25e-05,1.3279056191361391e-05,0.0001022499999999,9.6e-05,5.8e-05,0.00014025,6.215236654115969e-05
03ed26062301e1ac6bbf94f3c03a7e56,1,2,3,4.4666666666666664e-05,2.4e-05,2e-05,8.8e-05,5.089204259999789e-05,0.0001405,0.0001405,0.00013825,0.00014275,6.363961030678929e-06,0.000136,0.0001325,0.00012675,0.00014175,1.667333200053306e-05,4e-06,4e-06,4e-06,4e-06,0.0,6.4e-05,6.4e-05,6.4e-05,6.4e-05,0.0,1.6e-05,1.6e-05,1.9999999999999995e-06,2.9999999999999997e-05,3.959797974644666e-05,4.0333333333333336e-05,3.2e-05,2.05e-05,5.6000000000000006e-05,3.622614157391501e-05,4.8e-05,4.8e-05,4.8e-05,4.8e-05,0.0
03ed26062301e1ac6bbf94f3c03a7e56,2,1,1,6.662499999999999e-05,6.45e-05,3.2e-05,0.0001049999999999,4.007470702147606e-05,9e-05,9e-05,6.3e-05,0.000117,7.636753236814713e-05,0.0001195,0.0001325,0.000111,0.00014325,3.919183588453085e-05,9.4e-05,4e-05,2.6e-05,0.000108,0.0001303738215031,0.00012325,0.000104,4.5e-05,0.00018225,0.0001007285957412,9.866666666666668e-05,0.00012,6.8e-05,0.00014,7.433258594542055e-05,0.000132,0.000132,7.4e-05,0.00019,0.0001640487732352,0.0001545555555555,0.000105,8.4e-05,0.000177,0.0001172477197124
03ed26062301e1ac6bbf94f3c03a7e56,2,1,2,4.0875e-05,3.6e-05,1.0249999999999998e-05,6.725e-05,4.1714805525137e-05,0.00034,0.00034,0.000222,0.000458,0.00033375440072,7.875e-05,8.45e-05,2.7e-05,0.00013625,6.74011622056079e-05,0.0,0.0,0.0,0.0,0.0,7.199999999999999e-05,5.5e-05,4.9e-05,0.000104,2.9816103031751147e-05,3.2e-05,3.2e-05,2.75e-05,3.65e-05,1.2727922061357856e-05,-2.4e-05,-2.4e-05,-2.4e-05,-2.4e-05,0.0,0.000165,0.000121,7.65e-05,0.00014,0.00018819404879
03ed26062301e1ac6bbf94f3c03a7e56,2,1,3,8.827777777777777e-05,6.5e-05,4.8e-05,7.875e-05,9.710746355004944e-05,0.000116,0.000116,0.0001099999999999,0.000122,1.6970562748477143e-05,9.616666666666668e-05,0.000124,0.000114,0.000128,6.652643584821502e-05,5.48e-05,3.6e-05,1.7e-05,0.000104,6.6788472059181e-05,0.000156,6.4e-05,5.2e-05,7.8e-05,0.0002490194102207,5.4875e-05,5.9999999999999995e-05,-1.7500000000000002e-06,0.0001167499999999,7.014360270188579e-05,1.7e-05,1.4e-05,8e-06,2.3e-05,1.1489125293076058e-05,0.0001271428571428,0.000112,7.9e-05,0.000136,9.659439005696031e-05
03ed26062301e1ac6bbf94f3c03a7e56,2,2,1,4.7e-05,5.2e-05,3.725e-05,6.424999999999999e-05,2.335441224755124e-05,0.0002416666666666,0.000164,0.0001385,0.000306,0.0001805002308401,9.971428571428571e-05,0.000136,5.25e-05,0.00014,5.120128346605609e-05,5.88e-05,6.4e-05,2.3e-05,9.5e-05,5.6384395004291755e-05,0.0002033333333333,0.000152,0.000137,0.000244,0.0001158677406931,4.5e-05,4.8e-05,3.2e-05,5.6e-05,5.478138369920935e-05,8.960000000000001e-05,4.1e-05,4e-05,0.000167,7.119901684714473e-05,0.000112,0.000112,0.000112,0.000112,0.0
03ed26062301e1ac6bbf94f3c03a7e56,2,2,2,3.0249999999999997e-05,3.85e-05,1.35e-05,5.5249999999999994e-05,3.8012059489939065e-05,0.00014,0.00014,0.000134,0.000146,1.697056274847715e-05,9.9e-05,0.00012,7.6e-05,0.0001325,5.93548650070068e-05,4.685416666666667e-05,3.484375e-05,2.253125e-05,6e-05,4.6535311585019824e-05,9.333333333333332e-05,6.85e-05,6.5e-05,0.000126,4.297285965195552e-05,6.4e-05,6.4e-05,6.4e-05,6.4e-05,0.0,3.4666666666666665e-05,1.6e-05,8.5e-06,5.15e-05,4.593836450433704e-05,0.0001209999999999,0.0001209999999999,9.7e-05,0.000145,6.788225099390856e-05
03ed26062301e1ac6bbf94f3c03a7e56,2,2,3,7.36e-05,7.2e-05,3.2e-05,0.00012,5.040634880647477e-05,0.0001734947916666,0.00016925,0.0001445625,0.000197390625,7.390024836772903e-05,0.0001290047619047,0.0001349411764705,0.0001083529411764,0.0001541323529411,4.925358218002368e-05,4.685416666666667e-05,3.484375e-05,2.253125e-05,6e-05,4.6535311585019824e-05,8.016666666666666e-05,6.85e-05,6.324999999999999e-05,8.425e-05,5.808069099680776e-05,4.45e-05,4.45e-05,3.425e-05,5.475e-05,2.8991378028648445e-05,0.0001729999999999,0.0001775,8.825e-05,0.00026225,0.0001076878204193,0.0001186666666666,0.0001245,6.9e-05,0.00016575,5.780196075105642e-05
03ed26062301e1ac6bbf94f3c03a7e56,3,1,1,6.31111111111111e-05,4.8e-05,3.2e-05,5.6e-05,5.1914459557151425e-05,0.0001734947916666,0.00016925,0.0001445625,0.000197390625,7.390024836772903e-05,0.00020025,0.0001999999999999,0.000122,0.00027825,9.830691735579956e-05,4.5499999999999995e-05,4.8e-05,4.25e-06,8.925e-05,5.236092690801669e-05,6.4e-05,8.9e-05,4.7e-05,9.35e-05,5.129327441292864e-05,3.575e-05,3.6e-05,1.8e-05,5.3750000000000005e-05,3.059820256158849e-05,6.433333333333333e-05,8e-05,3.6e-05,0.0001005,6.591155690266567e-05,8.475e-05,8.35e-05,5.35e-05,0.00011475,3.816084380618437e-05
03ed26062301e1ac6bbf94f3c03a7e56,3,1,2,9.066666666666668e-05,5.6e-05,4.8e-05,0.000116,7.433258594542055e-05,0.0001525,0.0001525,0.00014875,0.00015625,1.060660171779822e-05,0.000139,0.000139,0.000137,0.000141,5.656854249492383e-06,7.2e-05,7.2e-05,7.2e-05,7.2e-05,0.0,7.36e-05,6.5e-05,5.6e-05,9.6e-05,4.5313353440238785e-05,8.45e-05,8.45e-05,6.675e-05,0.00010225,5.020458146424487e-05,4.05e-05,4.05e-05,3.2749999999999996e-05,4.825e-05,2.1920310216782973e-05,0.0001481428571428,0.000144,0.0001365,0.000166,2.242341463313569e-05
03ed26062301e1ac6bbf94f3c03a7e56,3,1,3,3.6625e-05,-1.55e-05,-2.4e-05,8.65e-05,9.302985311946143e-05,0.0001813333333333,0.000148,0.00013,0.00016,0.0001048783422192,0.0001391999999999,0.00014,0.000128,0.000152,1.533623161014465e-05,9.6e-05,9.6e-05,9.6e-05,9.6e-05,0.0,0.0001141428571428,9.6e-05,4.05e-05,0.0001664999999999,9.720327252966428e-05,5.6000000000000006e-05,5.6000000000000006e-05,4.4e-05,6.8e-05,3.394112549695429e-05,6.557142857142859e-05,1.6e-05,8.5e-06,5.25e-05,0.0001142874404631,9.525e-05,8.25e-05,7.6e-05,0.00010175,3.887908606607585e-05
03ed26062301e1ac6bbf94f3c03a7e56,3,2,1,7.22e-05,7.2e-05,6.5e-05,7.2e-05,2.030270917882635e-05,0.000376,0.000376,0.000272,0.0004799999999999,0.0002941564209736,0.00014625,0.0001485,0.00013275,0.000162,2.188416474683616e-05,1.25e-05,1.25e-05,6.75e-06,1.825e-05,1.6263455967290594e-05,6.583333333333333e-05,3.6500000000000006e-05,3.225e-05,8.8e-05,6.745492322037485e-05,0.0001005,0.0001005,9.075e-05,0.00011025,2.7577164466275353e-05,3e-05,3.2e-05,2.6e-05,3.6e-05,1.6492422502470642e-05,8.4e-05,8.4e-05,7e-05,9.8e-05,3.959797974644666e-05
03ed26062301e1ac6bbf94f3c03a7e56,3,2,2,6.8375e-05,6.85e-05,3.725e-05,9.025e-05,5.410555160319239e-05,0.000126,0.000126,0.0001205,0.0001315,1.555634918610404e-05,0.0001395,0.000134,0.00012925,0.00014425,2.0663978319771814e-05,0.0001176666666666,5.7e-05,5.05e-05,0.0001545,0.0001165175237178,4.85e-05,4.85e-05,8.749999999999996e-06,8.825e-05,0.0001124299782086,0.00012,0.00012,0.00012,0.00012,0.0,5.099999999999999e-05,4.5e-05,3.9e-05,5.7e-05,2.103964511741267e-05,0.0001069999999999,0.000124,9.4e-05,0.0001305,3.57118094379623e-05
