user_id,total_responses,passing_responses,average_max_score
09ff604f50d6b3b9782b0adc1619ddb8,18,6,26.666666666666668
33d899f4525cdfab3c39dfbc0f969ed3,1,1,80.0
0a33d72cd1ea41a33634db135928cc0d,18,9,38.888888888888886
