user_id,platform_id,session_id,video_id,IL_Key.spacet_mean,IL_Key.spacet_median,IL_Key.spacet_q1,IL_Key.spacet_q3,IL_Key.spacet_std,IL_Key.spacea_mean,IL_Key.spacea_median,IL_Key.spacea_q1,IL_Key.spacea_q3,IL_Key.spacea_std,IL_sKey.space_mean,IL_sKey.space_median,IL_sKey.space_q1,IL_sKey.space_q3,IL_sKey.space_std,IL_he_mean,IL_he_median,IL_he_q1,IL_he_q3,IL_he_std,IL_dKey.space_mean,IL_dKey.space_median,IL_dKey.space_q1,IL_dKey.space_q3,IL_dKey.space_std,IL_tKey.space_mean,IL_tKey.space_median,IL_tKey.space_q1,IL_tKey.space_q3,IL_tKey.space_std,IL_Key.spaces_mean,IL_Key.spaces_median,IL_Key.spaces_q1,IL_Key.spaces_q3,IL_Key.spaces_std,IL_er_mean,IL_er_median,IL_er_q1,IL_er_q3,IL_er_std,IL_nKey.space_mean,IL_nKey.space_median,IL_nKey.space_q1,IL_nKey.space_q3,IL_nKey.space_std,IL_en_mean,IL_en_median,IL_en_q1,IL_en_q3,IL_en_std
02905a58d4d227f7db1be7407f133719,1,1,1,0.0001154,9.4e-05,6.850000000000001e-05,0.000156,0.0001022788904347,0.0001085,0.0001085,0.00010625,0.00011075,6.363961030678929e-06,0.0001263333333333,4.3e-05,1.3e-05,0.000198,0.0001985782801147,8.625000000000001e-05,8.1e-05,7.15e-05,9.05e-05,3.299242337264725e-05,-1.9333333333333333e-05,-1.5499999999999997e-05,-6.025e-05,2.25e-05,4.662903244403283e-05,0.000235,0.000147,-4.925e-05,0.00043125,0.0003587320262628,0.0005495,0.0005495,0.0005107499999999,0.00058825,0.0001096015510839,5.123076923076924e-05,5.123076923076924e-05,2.4884615384615388e-05,7.757692307692308e-05,7.451817617119771e-05,0.000105,0.000105,0.000105,0.000105,0.0,-3.733333333333334e-05,-3.1e-05,-5.6000000000000006e-05,-1.55e-05,4.086971168644738e-05
02905a58d4d227f7db1be7407f133719,1,1,2,0.000189909090909,0.000135,6e-05,0.0001815,0.0002105195736958,0.000448,0.000416,0.00013375,0.00073025,0.0003937384918953,0.000176,6.3e-05,3.15e-05,0.000264,0.0002522558225294,6.83e-05,6.8e-05,5.8e-05,7.875e-05,3.129447945635851e-05,0.000125,2.5e-05,1.5e-05,4.3e-05,0.0002459593462342,0.000289,0.000289,0.000145,0.000433,0.0004072935059634,0.0004876666666666,0.000451,0.000386,0.000571,0.000187705443004,5.123076923076924e-05,5.123076923076924e-05,2.4884615384615388e-05,7.757692307692308e-05,7.451817617119771e-05,0.000112,0.000112,0.000112,0.000112,0.0,-4.297222222222222e-05,-3.791666666666667e-05,-5.3395833333333335e-05,-3.0020833333333332e-05,2.8999210735854166e-05
02905a58d4d227f7db1be7407f133719,1,1,3,0.0002382142857142,0.0001844999999999,8.95e-05,0.0002872499999999,0.0002267730748403,0.0004996,0.000449,0.000288,0.00078,0.0003211888852373,5.003571428571429e-05,3.55e-05,2.130357142857143e-05,7.151785714285714e-05,5.750215117057107e-05,7.508333333333333e-05,7.05e-05,6.275000000000001e-05,9.275e-05,3.2094911330822114e-05,-8.200000000000001e-06,-1.6e-05,-3.4e-05,0.0,4.592602747897971e-05,-7.425e-05,-7.6e-05,-9.45e-05,-5.575e-05,5.123394057328274e-05,0.0004113450980392,0.000389794117647,0.0003294558823529,0.0004794264705882,0.0001857356821052,0.0001705,0.0001705,9.175e-05,0.00024925,0.0002227386360737,0.000188,0.000109,0.0001025,0.000234,0.0001482329248176,-5.300000000000001e-05,-4.6e-05,-6.3e-05,-3.95e-05,2.4269322199023196e-05
02905a58d4d227f7db1be7407f133719,1,2,1,0.0002452,0.000116,6.4e-05,0.000478,0.0002438761981005,0.000484,0.000484,0.00029,0.000678,0.0005487148622007,7.05e-05,7.05e-05,6.625e-05,7.475e-05,1.2020815280171304e-05,6.844444444444445e-05,7.8e-05,3.9e-05,9.5e-05,3.793122431161138e-05,5.666666666666667e-06,-8e-06,-1.75e-05,1.875e-05,4.302867261102376e-05,-3.925e-05,-3.8e-05,-6.15e-05,-1.575e-05,3.589219970968623e-05,0.00052975,0.0006119999999999,0.0004302499999999,0.0007115,0.0002833447546717,-4.1e-05,-4.1e-05,-4.1e-05,-4.1e-05,0.0,7.125e-05,0.000103,4.25e-05,0.0001317499999999,9.03746830331002e-05,-2.0333333333333337e-05,-1e-06,-3.0500000000000003e-05,-5e-07,3.4355979586286476e-05
02905a58d4d227f7db1be7407f133719,1,2,2,0.0001253636363636,0.000104,2.3e-05,0.0001395,0.0001788151407052,0.0003469999999999,0.000341,0.00023175,0.00049525,0.0001737365822157,7e-05,7e-05,2.7e-05,0.000113,0.000121622366364,9.714285714285717e-05,7.05e-05,4.175e-05,8e-05,0.0001437470305474,1.26e-05,2.8e-05,0.0,3.1e-05,2.8005356630473393e-05,5.380000000000001e-05,5.9e-05,0.0,0.000112,7.449295268681461e-05,0.000165,0.0001535,0.00012225,0.00019625,8.71588587962616e-05,5.123076923076924e-05,5.123076923076924e-05,2.4884615384615388e-05,7.757692307692308e-05,7.451817617119771e-05,0.0001175,0.0001175,0.00011525,0.00011975,6.363961030678929e-06,-4.297222222222222e-05,-3.791666666666667e-05,-5.3395833333333335e-05,-3.0020833333333332e-05,2.8999210735854166e-05
02905a58d4d227f7db1be7407f133719,1,2,3,0.000228625,0.0001995,4.575e-05,0.000279,0.0002259892143444,0.00057425,0.0005895,0.0005434999999999,0.0006202499999999,9.919131346376388e-05,0.0,0.0,0.0,0.0,0.0,6.15e-05,7.2e-05,3.575e-05,8.975e-05,3.691689508689948e-05,1.1333333333333336e-05,4e-06,-3.000000000000001e-06,2.2000000000000003e-05,2.579405616287081e-05,-3.25e-06,-6e-06,-1.3e-05,3.75e-06,1.3937359864766355e-05,0.000583,0.000583,0.000583,0.000583,0.0,9e-06,9e-06,4.5e-06,1.35e-05,1.2727922061357856e-05,0.0001125,0.0001125,0.00010525,0.00011975,2.050609665440988e-05,0.0,0.0,0.0,0.0,0.0
02905a58d4d227f7db1be7407f133719,2,1,1,0.0001513636363636,0.000125,4.8e-05,0.000214,0.0001349453761544,0.00024375,0.000167,0.0001165,0.0002942499999999,0.0001960516513574,5.5e-05,5.5e-05,5.5e-05,5.5e-05,0.0,0.0001814285714285,5.5e-05,5.1e-05,7.500000000000001e-05,0.0003295738951751,9.75e-06,7e-06,-5.75e-06,2.25e-05,2.9713913688147285e-05,0.0001709999999999,-1.3e-05,-4e-05,9.2e-05,0.0004007879738714,0.0002474,0.000216,0.000166,0.000369,0.0001315819136507,0.0,0.0,0.0,0.0,0.0,0.000759,0.000759,0.000759,0.000759,0.0,-2.8000000000000003e-05,0.0,-4.25e-05,5e-07,4.9365980188789936e-05
02905a58d4d227f7db1be7407f133719,2,1,2,0.0001930909090909,7e-05,8.5e-06,0.000159,0.0003041057232429,0.0002235714285714,0.000174,0.0001315,0.0002875,0.0001248290259286,2.45e-05,2.45e-05,1.2750000000000002e-05,3.625e-05,3.323401871576773e-05,6.180000000000001e-05,6.950000000000001e-05,5.525e-05,7.7e-05,2.8778078076511258e-05,4.000000000000001e-06,0.0,-1.6e-05,1.5e-05,3.715508040631859e-05,4.3747058823529414e-05,1.811764705882353e-05,-2.3014705882352943e-05,8.080882352941177e-05,0.0001261536302571,0.0003636666666666,0.000148,0.0001374999999999,0.000482,0.0003918728535294,0.0,0.0,0.0,0.0,0.0,0.0001065,0.000105,0.000104,0.0001075,5.972157622389639e-06,-4.297222222222222e-05,-3.791666666666667e-05,-5.3395833333333335e-05,-3.0020833333333332e-05,2.8999210735854166e-05
02905a58d4d227f7db1be7407f133719,2,1,3,0.0001557777777777,0.000132,8e-05,0.000192,9.978323729186404e-05,0.0007999999999999,0.0007999999999999,0.0007435,0.0008565,0.0001598061325481,5.003571428571429e-05,3.55e-05,2.130357142857143e-05,7.151785714285714e-05,5.750215117057107e-05,7.783333333333333e-05,8.35e-05,5.325e-05,0.000101,2.644554152719635e-05,-3.9500000000000005e-05,-3.9500000000000005e-05,-5.975e-05,-1.925e-05,5.727564927611035e-05,-3.925e-05,-3.9e-05,-5.7499999999999995e-05,-2.0750000000000003e-05,4.094203219186854e-05,0.00062525,0.000744,0.00054475,0.0008245,0.0003615212073078,1.1e-05,1.1e-05,-4.000000000000001e-06,2.6e-05,4.242640687119285e-05,0.0001255,0.0001255,0.00012025,0.00013075,1.4849242404917495e-05,-4.8e-05,-4.8e-05,-5.65e-05,-3.95e-05,2.404163056034261e-05
02905a58d4d227f7db1be7407f133719,2,2,1,0.000392,0.000191,7.2e-05,0.000897,0.0004113313749278,0.0002894,0.000151,9.8e-05,0.000367,0.0002787262097471,4.500000000000001e-06,4.500000000000001e-06,-1.725e-05,2.625e-05,6.151828996322963e-05,7.799999999999999e-05,7.2e-05,6.3e-05,9.1e-05,2.0896570691543303e-05,6.8e-06,-1e-06,-1.9e-05,0.0,4.120315521898778e-05,-2.1999999999999993e-06,-3.1e-05,-4.4e-05,3.3e-05,6.903404956975942e-05,8.7e-05,8.7e-05,8.7e-05,8.7e-05,0.0,-2.5e-05,-2.5e-05,-2.5e-05,-2.5e-05,0.0,0.0001235,0.0001235,0.00010975,0.00013725,3.889087296526012e-05,-8.5e-05,-8.5e-05,-8.8e-05,-8.2e-05,8.485281374238575e-06
